decimalLatitude,decimalLongitude,year,stateProvince
-28.6422,153.3452,2014.0,New South Wales
-28.435152,152.680887,2015.0,New South Wales
-28.701212,153.55332,,New South Wales
-29.349678,153.23287,2009.0,New South Wales
-28.36964,153.55608,2020.0,New South Wales
-33.066113,151.4614,2018.0,New South Wales
-28.452237,153.41183,,New South Wales
-28.749193,153.297378,,New South Wales
-29.436311,153.309652,2009.0,New South Wales
-28.387101,153.107113,2011.0,New South Wales
-28.433068,153.134118,2011.0,New South Wales
-28.167108,153.496119,2004.0,New South Wales
-28.505061,153.26359,,New South Wales
-29.339073,153.211203,2009.0,New South Wales
-29.5053,152.823608,2026.0,New South Wales
-29.453753,153.358913,1994.0,New South Wales
-29.335793,153.261414,2017.0,New South Wales
-28.9241,153.159,2022.0,New South Wales
-28.71455,153.532469,,New South Wales
-29.438313,153.356743,2024.0,New South Wales
-29.154882,153.211646,2018.0,New South Wales
-28.54396,153.491742,,New South Wales
-28.657755,153.361008,2024.0,New South Wales
-28.7925,153.428486,,New South Wales
-29.480163,153.363957,2009.0,New South Wales
-28.697314,153.513126,,New South Wales
-28.387757,153.086076,2011.0,New South Wales
-28.588573,153.516491,1996.0,New South Wales
-28.600834,153.454184,,New South Wales
-29.567486,153.335111,2026.0,New South Wales
-28.582617,153.550633,2023.0,New South Wales
-28.588573,153.516491,2002.0,New South Wales
-28.172718,153.504038,2015.0,New South Wales
-28.630879,153.590161,2021.0,New South Wales
-28.309851,153.465375,,New South Wales
-28.588573,153.516491,2005.0,New South Wales
-28.829009,153.207888,2021.0,New South Wales
-28.54285,153.2905,2017.0,New South Wales
-28.850796,153.365431,,New South Wales
-33.709484,150.961602,1995.0,New South Wales
-28.433635,153.136212,2009.0,New South Wales
-28.676228,153.37486,,New South Wales
-28.588573,153.516491,1994.0,New South Wales
-28.343377,153.484404,,New South Wales
-29.445056,153.359853,2009.0,New South Wales
-29.349033,153.239996,2009.0,New South Wales
-28.386445,153.390415,,New South Wales
-29.396288,153.22277,2009.0,New South Wales
-29.34947,153.242773,2009.0,New South Wales
-28.588573,153.516491,1988.0,New South Wales
-28.851153,153.381611,,New South Wales
-28.612505,153.401871,2017.0,New South Wales
-28.857935,153.537942,,New South Wales
-28.599978,153.27576,2022.0,New South Wales
-29.478107,153.364156,2009.0,New South Wales
-28.736651,152.620238,2021.0,New South Wales
-28.699568,153.502175,,New South Wales
-28.832786,153.31366,2007.0,New South Wales
-28.74729,153.521286,,New South Wales
-31.948844,152.428443,2013.0,New South Wales
-28.418076,153.342787,2023.0,New South Wales
-29.597304,153.327337,2009.0,New South Wales
-28.825723,153.575055,1991.0,New South Wales
-28.888837,153.045904,,New South Wales
-29.35478,153.2231,2014.0,New South Wales
-28.721116,153.260734,,New South Wales
-28.804075,153.571862,1991.0,New South Wales
-30.285965,153.109393,,New South Wales
-28.818673,153.269657,,New South Wales
-28.889701,153.51724,,New South Wales
-28.61644,153.3666,2014.0,New South Wales
-29.498685,153.222556,2009.0,New South Wales
-29.400353,153.220614,2009.0,New South Wales
-28.34992,153.264303,,New South Wales
-29.34061,153.2273,2013.0,New South Wales
-28.5095,152.965,2022.0,New South Wales
-29.468336,153.301208,2009.0,New South Wales
-28.423065,153.469797,2006.0,New South Wales
-29.582213,153.324179,2009.0,New South Wales
-28.706825,153.615785,2002.0,New South Wales
-28.436959,153.142609,2008.0,New South Wales
-28.548039,153.493804,1992.0,New South Wales
-29.35931,153.2395,2013.0,New South Wales
-28.335049,153.485237,,New South Wales
-29.47902,153.3632,2015.0,New South Wales
-28.649444,153.393949,,New South Wales
-28.813216,153.305505,2005.0,New South Wales
-29.34048,153.2539,2015.0,New South Wales
-28.648254,153.411795,,New South Wales
-28.736729,152.619791,2021.0,New South Wales
-29.478467,153.354585,2005.0,New South Wales
-29.32782,153.2494,2015.0,New South Wales
-28.4248,153.454,2021.0,New South Wales
-28.445059,153.194336,2018.0,New South Wales
-28.551059,153.433201,2011.0,New South Wales
-29.341053,153.256195,2018.0,New South Wales
-30.298612,153.109392,2020.0,New South Wales
-28.345816,153.322029,,New South Wales
-28.548308,153.413046,1994.0,New South Wales
-28.875662,153.39101,,New South Wales
-28.466011,153.183197,2018.0,New South Wales
-28.588573,153.516491,2001.0,New South Wales
-28.674143,153.274072,2019.0,New South Wales
-28.32997,153.568455,2020.0,New South Wales
-28.314793,153.310138,1994.0,New South Wales
-28.588573,153.516491,1992.0,New South Wales
-28.272217,153.562303,2013.0,New South Wales
-28.735105,153.404657,,New South Wales
-28.257578,153.401446,2022.0,New South Wales
-29.44555,153.353378,2020.0,New South Wales
-28.44728,153.1446,2015.0,New South Wales
-28.586858,153.484585,2020.0,New South Wales
-28.45015,153.139644,2007.0,New South Wales
-29.335201,153.22228,2009.0,New South Wales
-28.515888,153.459062,,New South Wales
-28.648899,153.60885,,New South Wales
-29.446124,153.355275,2009.0,New South Wales
-28.309109,153.541144,1994.0,New South Wales
-28.490665,153.20565,,New South Wales
-28.697797,153.282149,,New South Wales
-28.699195,153.292535,,New South Wales
-29.479442,153.363698,2009.0,New South Wales
-28.784139,153.590195,1994.0,New South Wales
-29.442945,153.350626,2009.0,New South Wales
-28.44595,153.1942,2014.0,New South Wales
-28.408754,153.558587,2022.0,New South Wales
-28.607378,153.564591,,New South Wales
-33.47066,151.393967,2012.0,New South Wales
-28.718448,153.420123,,New South Wales
-28.664538,153.374965,,New South Wales
-28.597269,153.544425,2025.0,New South Wales
-29.61139,153.3183,2014.0,New South Wales
-28.524453,153.118918,,New South Wales
-29.578723,153.334555,2009.0,New South Wales
-28.4228,153.351,2022.0,New South Wales
-28.444214,153.144967,2007.0,New South Wales
-28.389608,153.323181,2018.0,New South Wales
-28.444916,153.194199,2018.0,New South Wales
-28.666457,153.34279,,New South Wales
-28.170973,153.502036,2024.0,New South Wales
-28.180297,153.503901,,New South Wales
-28.3511,153.3258,2023.0,New South Wales
-28.588573,153.516491,1997.0,New South Wales
-28.303318,153.570642,2021.0,New South Wales
-28.6192,153.398285,2018.0,New South Wales
-29.505531,152.823656,2025.0,New South Wales
-28.7983,153.299,2020.0,New South Wales
-33.811816,151.299912,2010.0,New South Wales
-29.505294,152.823639,2026.0,New South Wales
-28.28449,153.573623,2025.0,New South Wales
-28.700296,153.45823,,New South Wales
-31.47102,152.874772,1996.0,New South Wales
