Common Name,Threatened status,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,Kingdom,Class
Norfolk Island Abutilon,Critically Endangered,-,-,-,-,-,-,-,-,Plantae,Magnoliopsida
-,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
"Grass Wattle, Chittering Grass Wattle",Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Leafless Rock Wattle,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Blunt Wattle,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
"Spidery Wattle, Balcanoona Wattle",Vulnerable,-,-,-,-,Yes,-,-,-,Plantae,Magnoliopsida
Watheroo Wattle,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Large-fruited Tammin Wattle,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Myall Creek Wattle,Critically Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
-,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Orange-flowered Wattle,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Stirling Range Wattle,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
"Midlands Mimosa, Midlands Wattle",Vulnerable,-,-,-,-,-,Yes,-,-,Plantae,Magnoliopsida
-,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
Blay's Wattle,Critically Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
Western Wheatbelt Wattle,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
"Bynoe's Wattle, Tiny Wattle",Vulnerable,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
"Limestone Blue Wattle, Buchan Blue, Buchan Blue Wattle",Vulnerable,-,-,-,-,-,-,Yes,-,Plantae,Magnoliopsida
"Needle Wattle, Dead Finish, Purple-wood Wattle",Vulnerable,-,Yes,-,-,Yes,-,-,-,Plantae,Magnoliopsida
-,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Spiral-fruited Wattle,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Velvety Spiral Pod Wattle,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Narrabarba Wattle,Critically Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
"Three Brothers Wattle, Brother Wattle, Northern Brother Wattle",Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
Chalky Wattle,Endangered,-,-,-,-,Yes,-,-,-,Plantae,Magnoliopsida
Pink Gidgee,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Curly-bark Wattle,Vulnerable,-,Yes,-,Yes,-,-,-,-,Plantae,Magnoliopsida
-,Critically Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
Sandpaper Wattle,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Echidna Wattle,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
-,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Jumping-jack Wattle,Endangered,-,-,-,-,Yes,-,Yes,-,Plantae,Magnoliopsida
a shrub,Critically Endangered,-,-,Yes,-,-,-,-,-,Plantae,Magnoliopsida
-,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Flockton Wattle,Vulnerable,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
Forest's Wattle,Vulnerable,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
-,Critically Endangered,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Bega Wattle,Vulnerable,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
Hairy-pod Wattle,Vulnerable,-,-,-,-,Yes,-,Yes,-,Plantae,Magnoliopsida
-,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
-,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
"Hando's Wattle, Percy Grant Wattle",Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Gibson Wattle,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Yornaning Wattle,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
-,Extinct,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
-,Endangered,-,Yes,-,-,-,-,Yes,-,Plantae,Magnoliopsida
Woolly Wattle,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Latz's Wattle,Vulnerable,-,-,Yes,-,Yes,-,-,-,Plantae,Magnoliopsida
Tara Wattle,Vulnerable,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
Chinocup Wattle,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
-,Critically Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Chiddarcooping Wattle,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Girringun wattle,Critically Endangered,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
McNutt's Wattle,Vulnerable,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
-,Endangered,-,Yes,-,-,-,-,-,-,Plantae,Magnoliopsida
Menzel's Wattle,Vulnerable,-,-,-,-,Yes,-,-,-,Plantae,Magnoliopsida
"Waddy, Waddi, Waddy-wood, Birdsville Wattle",Vulnerable,-,-,Yes,Yes,Yes,-,-,-,Plantae,Magnoliopsida
Wongan Gully Wattle,Endangered,-,-,-,-,-,-,-,Yes,Plantae,Magnoliopsida
Phantom Wattle,Vulnerable,-,Yes,-,-,-,-,Yes,-,Plantae,Magnoliopsida
Birds Nest Wattle,Vulnerable,-,-,Yes,-,Yes,-,-,-,Plantae,Magnoliopsida
"Fat-leaved Wattle,  Fat-leaf Wattle",Endangered,-,-,-,-,Yes,-,-,-,Plantae,Magnoliopsida
-,Endangered,-,-,-,Yes,-,-,-,-,Plantae,Magnoliopsida
