state,class_label,count
ACT,Amphibians,6
ACT,Birds,20
ACT,Fish,4
ACT,Insects,2
ACT,Mammals,12
ACT,Reptiles,6
NSW,Amphibians,29
NSW,Birds,91
NSW,Fish,23
NSW,Insects,9
NSW,Mammals,56
NSW,Reptiles,37
NT,Amphibians,1
NT,Birds,38
NT,Fish,0
NT,Insects,0
NT,Mammals,45
NT,Reptiles,20
QLD,Amphibians,27
QLD,Birds,73
QLD,Fish,20
QLD,Insects,4
QLD,Mammals,64
QLD,Reptiles,44
SA,Amphibians,1
SA,Birds,87
SA,Fish,17
SA,Insects,1
SA,Mammals,61
SA,Reptiles,12
TAS,Amphibians,1
TAS,Birds,60
TAS,Fish,17
TAS,Insects,8
TAS,Mammals,12
TAS,Reptiles,8
VIC,Amphibians,11
VIC,Birds,72
VIC,Fish,26
VIC,Insects,5
VIC,Mammals,38
VIC,Reptiles,15
WA,Amphibians,3
WA,Birds,66
WA,Fish,9
WA,Insects,6
WA,Mammals,68
WA,Reptiles,22
