decimalLatitude,decimalLongitude,year,stateProvince
-35.401373,149.112167,2016.0,Australian Capital Territory
-35.3,149.1,2018.0,Australian Capital Territory
-35.418876,148.990434,1991.0,Australian Capital Territory
-35.4297,148.82,1991.0,Australian Capital Territory
-35.2,149.1,2026.0,Australian Capital Territory
-35.8,149.0,2015.0,Australian Capital Territory
-35.8,149.0,2016.0,Australian Capital Territory
-35.3,149.1,2019.0,Australian Capital Territory
-35.446147,149.081283,2021.0,Australian Capital Territory
-35.8851,148.981,1991.0,Australian Capital Territory
-35.3,149.1,2021.0,Australian Capital Territory
-35.4505,149.095,1991.0,Australian Capital Territory
-35.4122,148.844,1991.0,Australian Capital Territory
-35.226489,149.168869,2023.0,Australian Capital Territory
-35.58,149.113,1993.0,Australian Capital Territory
-35.8,149.0,2015.0,Australian Capital Territory
-35.3,149.1,2016.0,Australian Capital Territory
-35.3,149.1,2016.0,Australian Capital Territory
-35.28252,149.042421,2023.0,Australian Capital Territory
-35.3006,149.157,1992.0,Australian Capital Territory
-35.479877,148.899865,2020.0,Australian Capital Territory
-35.427162,149.059515,2016.0,Australian Capital Territory
-35.456912,148.924171,1991.0,Australian Capital Territory
-35.517803,149.073136,2023.0,Australian Capital Territory
-35.3,149.1,2015.0,Australian Capital Territory
-35.8,149.0,2015.0,Australian Capital Territory
-35.447335,149.067161,1993.0,Australian Capital Territory
-35.7,149.0,2015.0,Australian Capital Territory
-35.5,148.8,2017.0,Australian Capital Territory
-35.2,149.1,2019.0,Australian Capital Territory
-35.3,149.1,2016.0,Australian Capital Territory
-35.4,149.1,2016.0,Australian Capital Territory
-35.5,149.1,2018.0,Australian Capital Territory
-35.3783,148.876,1994.0,Australian Capital Territory
-35.757077,148.974462,2016.0,Australian Capital Territory
-35.3,149.1,2017.0,Australian Capital Territory
-35.4558,149.102,1991.0,Australian Capital Territory
-35.173557,149.154628,1992.0,Australian Capital Territory
-35.440226,148.929205,2015.0,Australian Capital Territory
-35.2,149.1,2021.0,Australian Capital Territory
-35.448236,149.067184,1993.0,Australian Capital Territory
-35.4513,148.882,1988.0,Australian Capital Territory
-35.6458,148.834,1991.0,Australian Capital Territory
