year,stateProvince,decimalLatitude,decimalLongitude,vernacularName,species
2021,Victoria,-37.80811,144.14848,Fox,Vulpes vulpes
2018,Victoria,-38.25635,144.50269,Fox,Vulpes vulpes
2020,Victoria,-38.17851,144.35467,Fox,Vulpes vulpes
2022,Victoria,-38.083835,144.046349,Fox,Vulpes vulpes
2020,Victoria,-38.16577,144.32594,Fox,Vulpes vulpes
2020,Victoria,-37.69049,144.51318,Fox,Vulpes vulpes
2017,Victoria,-37.66098,144.49636,Fox,Vulpes vulpes
2021,Victoria,-37.87185,144.2043,Fox,Vulpes vulpes
2022,Victoria,-37.819479,144.331898,Fox,Vulpes vulpes
2022,Victoria,-37.812668,144.333556,Fox,Vulpes vulpes
2019,Victoria,-38.31306,144.1829,Fox,Vulpes vulpes
2015,Victoria,-38.25006,144.43602,Fox,Vulpes vulpes
2018,Victoria,-37.77343,144.27361,Fox,Vulpes vulpes
2015,Victoria,-38.2911,144.38032,Fox,Vulpes vulpes
2015,Victoria,-38.42866,144.06128,Fox,Vulpes vulpes
2021,Victoria,-37.81948,144.3319,Fox,Vulpes vulpes
2017,Victoria,-38.24827,144.11463,Fox,Vulpes vulpes
2021,Victoria,-37.74786,144.32324,Fox,Vulpes vulpes
2015,Victoria,-38.26509,144.56048,Fox,Vulpes vulpes
2020,Victoria,-38.0695,144.14609,Fox,Vulpes vulpes
2022,Victoria,-38.393471,143.88733,Fox,Vulpes vulpes
2022,Victoria,-37.795522,144.300537,Fox,Vulpes vulpes
2020,Victoria,-38.09664,144.30167,Fox,Vulpes vulpes
2021,Victoria,-37.85662,144.19403,Fox,Vulpes vulpes
2020,Victoria,-38.19808,144.28918,Fox,Vulpes vulpes
2016,Victoria,-38.21143,144.43619,Fox,Vulpes vulpes
2020,Victoria,-38.0653,144.14673,Fox,Vulpes vulpes
2019,Victoria,-37.81917,144.25185,Fox,Vulpes vulpes
2024,Victoria,-38.149183,144.376322,Fox,Vulpes vulpes
2022,Victoria,-37.812668,144.333556,Fox,Vulpes vulpes
2022,Victoria,-37.812668,144.333556,Fox,Vulpes vulpes
2015,Victoria,-38.31335,144.18405,Fox,Vulpes vulpes
2020,Victoria,-37.76761,144.27157,Fox,Vulpes vulpes
2022,Victoria,-37.812668,144.333556,Fox,Vulpes vulpes
2021,Victoria,-38.25578,144.44379,Fox,Vulpes vulpes
2016,Victoria,-38.21787,144.07325,Fox,Vulpes vulpes
2023,Victoria,-37.66817,144.5042,Fox,Vulpes vulpes
2016,Victoria,-38.16678,144.33015,Fox,Vulpes vulpes
2022,Victoria,-38.170191,144.323518,Fox,Vulpes vulpes
2022,Victoria,-38.477535,143.749384,Fox,Vulpes vulpes
2018,Victoria,-38.24783,144.63171,Fox,Vulpes vulpes
2019,Victoria,-38.22033,144.39499,Fox,Vulpes vulpes
2019,Victoria,-37.79069,144.3822,Fox,Vulpes vulpes
2023,Victoria,-38.379988,143.786235,Fox,Vulpes vulpes
2021,Victoria,-37.80656,144.31713,Fox,Vulpes vulpes
2021,Victoria,-38.17117,143.88674,Fox,Vulpes vulpes
2022,Victoria,-38.157748,144.391163,Fox,Vulpes vulpes
2016,Victoria,-38.21524,144.65808,Fox,Vulpes vulpes
2021,Victoria,-37.81948,144.3319,Fox,Vulpes vulpes
2020,Victoria,-38.23354,144.64493,Fox,Vulpes vulpes
2021,Victoria,-37.66354,144.44113,Fox,Vulpes vulpes
2021,Victoria,-38.08155,144.04618,Fox,Vulpes vulpes
2022,Victoria,-38.208593,144.438252,Fox,Vulpes vulpes
2020,Victoria,-38.06068,144.04744,Fox,Vulpes vulpes
2015,Victoria,-38.41333,144.18823,Fox,Vulpes vulpes
2021,Victoria,-37.81948,144.3319,Fox,Vulpes vulpes
2021,Victoria,-37.80811,144.14848,Fox,Vulpes vulpes
2022,Victoria,-37.812668,144.333556,Fox,Vulpes vulpes
2024,Victoria,-37.811424,144.138235,Fox,Vulpes vulpes
2018,Victoria,-37.73615,144.31212,Fox,Vulpes vulpes
2022,Victoria,-38.330276,144.186601,Fox,Vulpes vulpes
2019,Victoria,-38.15706,144.4157,Fox,Vulpes vulpes
2021,Victoria,-37.80805,144.15026,Fox,Vulpes vulpes
2019,Victoria,-36.09,146.2596,Fox,Vulpes vulpes
2015,Victoria,-38.25532,145.24111,Fox,Vulpes vulpes
1991,Victoria,-37.36787,148.51852,Fox,Vulpes vulpes
1998,Victoria,-37.19485,146.38548,Fox,Vulpes vulpes
2018,Victoria,-38.53162,143.67825,Fox,Vulpes vulpes
2017,Victoria,-38.19351,145.56791,Fox,Vulpes vulpes
2012,Victoria,-37.2599,147.8459,Fox,Vulpes vulpes
2015,Victoria,-34.69483,142.34407,Fox,Vulpes vulpes
1979,Victoria,-38.39503,145.20861,Fox,Vulpes vulpes
2014,Victoria,-38.04051,141.27165,Fox,Vulpes vulpes
2020,Victoria,-37.45614,142.41553,Fox,Vulpes vulpes
2020,Victoria,-37.9522,145.5935,Fox,Vulpes vulpes
2013,Victoria,-38.00261,141.60568,Fox,Vulpes vulpes
2021,Victoria,-37.74251,148.08796,Fox,Vulpes vulpes
2012,Victoria,-36.4686,145.7527,Fox,Vulpes vulpes
2015,Victoria,-38.13547,145.28454,Fox,Vulpes vulpes
2015,Victoria,-34.75395,142.348,Fox,Vulpes vulpes
2016,Victoria,-38.04051,141.27165,Fox,Vulpes vulpes
2015,Victoria,-37.91046,141.51806,Fox,Vulpes vulpes
2020,Victoria,-38.90418,146.26026,Fox,Vulpes vulpes
1977,Victoria,-38.70682,146.14298,Fox,Vulpes vulpes
