decimalLatitude,decimalLongitude,year,stateProvince
-35.262253,149.160325,2022.0,Australian Capital Territory
-35.297298,149.026958,2025.0,Australian Capital Territory
-35.3504,149.195,1992.0,Australian Capital Territory
-35.388113,149.122981,1993.0,Australian Capital Territory
-35.32735,149.019,1993.0,Australian Capital Territory
-35.256766,149.034832,1990.0,Australian Capital Territory
-35.128144,149.133792,2025.0,Australian Capital Territory
-35.453414,149.098388,2024.0,Australian Capital Territory
-35.270197,149.157958,2022.0,Australian Capital Territory
-35.6139,149.028,1992.0,Australian Capital Territory
-35.2558,149.041,1985.0,Australian Capital Territory
-35.312539,149.107382,2011.0,Australian Capital Territory
-35.234894,149.085159,2015.0,Australian Capital Territory
-35.208589,148.984878,2023.0,Australian Capital Territory
-35.2445,149.169,1992.0,Australian Capital Territory
-35.313805,149.156303,2020.0,Australian Capital Territory
-35.3552,149.026,1993.0,Australian Capital Territory
-35.416734,149.06724,,Australian Capital Territory
-35.358684,149.030074,2023.0,Australian Capital Territory
-35.457185,149.016082,,Australian Capital Territory
-35.239,149.126,1993.0,Australian Capital Territory
-35.155178,149.145471,2016.0,Australian Capital Territory
-35.3569,149.029,1994.0,Australian Capital Territory
-35.320059,149.206781,2018.0,Australian Capital Territory
-35.266526,149.042852,2023.0,Australian Capital Territory
-35.27812,149.109531,2022.0,Australian Capital Territory
-35.504612,149.06672,2020.0,Australian Capital Territory
-35.172762,149.06488,2019.0,Australian Capital Territory
-35.472275,149.13941,,Australian Capital Territory
-35.6,149.048,1991.0,Australian Capital Territory
-35.422824,149.126632,2025.0,Australian Capital Territory
-35.260167,149.028854,2011.0,Australian Capital Territory
-35.324902,149.097596,2020.0,Australian Capital Territory
-35.405961,149.122456,2019.0,Australian Capital Territory
-35.259459,149.156679,2015.0,Australian Capital Territory
-35.200118,149.011618,2025.0,Australian Capital Territory
-35.230614,149.190196,1993.0,Australian Capital Territory
-35.304231,149.156989,1992.0,Australian Capital Territory
-35.69778,149.007244,2022.0,Australian Capital Territory
-35.388087,149.132537,2019.0,Australian Capital Territory
-35.2287,149.145,1993.0,Australian Capital Territory
-35.4395,148.939,1993.0,Australian Capital Territory
-35.556905,149.090932,1993.0,Australian Capital Territory
-35.2874,149.089,1991.0,Australian Capital Territory
-35.4614,149.034,1992.0,Australian Capital Territory
-35.640805,148.798828,2019.0,Australian Capital Territory
-35.314142,149.096921,2016.0,Australian Capital Territory
-35.463325,148.917712,1992.0,Australian Capital Territory
-35.727057,148.990853,2015.0,Australian Capital Territory
-35.736103,148.996101,1998.0,Australian Capital Territory
-35.2159,149.055,1993.0,Australian Capital Territory
-35.3729,149.047,1993.0,Australian Capital Territory
-35.284208,149.119927,2020.0,Australian Capital Territory
-35.315912,149.161754,2019.0,Australian Capital Territory
-35.340772,149.231286,2015.0,Australian Capital Territory
-35.269186,149.179184,2022.0,Australian Capital Territory
-35.320658,149.196739,2015.0,Australian Capital Territory
-35.185679,149.022297,2012.0,Australian Capital Territory
-35.397682,149.061254,2022.0,Australian Capital Territory
-35.453259,149.109707,2011.0,Australian Capital Territory
-35.30647,149.169048,2021.0,Australian Capital Territory
-35.314576,149.162252,2025.0,Australian Capital Territory
-35.314688,149.161444,2017.0,Australian Capital Territory
-35.3274,149.019,1993.0,Australian Capital Territory
-30.563616,150.110443,2016.0,New South Wales
-28.784528,153.265136,,New South Wales
-34.191368,142.567815,2017.0,New South Wales
-30.345831,151.987187,2004.0,New South Wales
-33.401287,142.489965,2012.0,New South Wales
-34.038843,151.16133,2008.0,New South Wales
-31.774225,151.034182,2017.0,New South Wales
-36.55988,148.26448,2014.0,New South Wales
-30.642325,152.470206,2014.0,New South Wales
-36.092788,144.819583,2024.0,New South Wales
-30.36985,152.30007,2013.0,New South Wales
-34.760781,146.539031,,New South Wales
-32.802328,151.53873,,New South Wales
-35.114854,150.664391,,New South Wales
-35.87163,148.15979,2014.0,New South Wales
-31.44018,151.47775,2013.0,New South Wales
-33.77204,151.255206,2022.0,New South Wales
-30.519293,149.384731,2017.0,New South Wales
-33.340121,151.415871,2024.0,New South Wales
-35.931601,147.737496,2022.0,New South Wales
-35.18121,148.25099,2014.0,New South Wales
-29.00587,151.20944,2013.0,New South Wales
-33.810737,144.731495,2016.0,New South Wales
-33.854839,150.873055,2003.0,New South Wales
-31.61171,152.41547,2014.0,New South Wales
-33.42677,149.393042,2025.0,New South Wales
-34.496963,150.709001,2014.0,New South Wales
-36.55984,148.27007,2012.0,New South Wales
-33.645072,151.171373,2015.0,New South Wales
-29.82473,151.13337,2012.0,New South Wales
-36.55984,148.27007,2012.0,New South Wales
-33.694246,151.30346,2022.0,New South Wales
-33.828598,151.104487,2024.0,New South Wales
-36.24347,148.37086,2014.0,New South Wales
-30.406334,150.24991,2023.0,New South Wales
-35.588411,149.447515,2011.0,New South Wales
-33.52579,150.48712,2014.0,New South Wales
-34.319627,150.881374,2015.0,New South Wales
-34.10208,150.727837,2019.0,New South Wales
-36.55988,148.26448,2013.0,New South Wales
-34.126725,150.737527,,New South Wales
-34.618753,150.542781,2017.0,New South Wales
-33.931123,150.637882,2015.0,New South Wales
-34.499306,150.583175,2016.0,New South Wales
-33.778902,150.994275,2023.0,New South Wales
-30.407946,150.479889,2023.0,New South Wales
-36.389437,149.3984,,New South Wales
-33.951151,147.357391,,New South Wales
-34.686673,145.251712,2002.0,New South Wales
-34.003945,150.562275,,New South Wales
-33.805306,151.215824,2001.0,New South Wales
-35.475139,150.341742,2021.0,New South Wales
-33.7319,150.3039,2018.0,New South Wales
-35.37069,149.641888,2014.0,New South Wales
-33.812243,151.160889,2017.0,New South Wales
-29.95866,150.7615,2012.0,New South Wales
-33.777402,150.084423,2002.0,New South Wales
-34.245818,142.591901,2016.0,New South Wales
-33.805515,149.319198,2025.0,New South Wales
-29.319733,151.095602,,New South Wales
-34.209472,142.638321,2018.0,New South Wales
-37.133568,149.368797,1986.0,New South Wales
-33.49668,149.7617,2013.0,New South Wales
-35.607389,150.308611,2020.0,New South Wales
-35.293259,149.480354,2021.0,New South Wales
-33.803442,151.031505,2025.0,New South Wales
-34.031145,151.059448,2016.0,New South Wales
-34.230237,142.538185,2017.0,New South Wales
-34.430671,150.612885,2023.0,New South Wales
-33.644769,151.182054,2015.0,New South Wales
-31.965061,152.440959,2024.0,New South Wales
-36.507535,149.751992,,New South Wales
-33.80803,151.171242,2023.0,New South Wales
-36.504365,149.904294,1991.0,New South Wales
-33.48304,150.10683,2013.0,New South Wales
-34.078658,151.063931,2010.0,New South Wales
-30.899099,152.992175,2010.0,New South Wales
-31.07331,151.42688,2014.0,New South Wales
-34.08317,148.44504,2012.0,New South Wales
-36.55988,148.26448,2013.0,New South Wales
-33.370707,142.871911,2002.0,New South Wales
-31.701856,152.656595,,New South Wales
-33.54062,150.751309,2025.0,New South Wales
-33.83625,149.99867,2013.0,New South Wales
-30.546438,150.147806,2023.0,New South Wales
-32.191871,151.961494,2023.0,New South Wales
-33.617848,151.085117,2020.0,New South Wales
-30.658593,149.149674,2020.0,New South Wales
-34.52847,149.92708,2014.0,New South Wales
-36.354959,148.777241,2016.0,New South Wales
-30.653588,152.990649,1983.0,New South Wales
-33.739989,150.376778,2025.0,New South Wales
-36.55984,148.27007,2015.0,New South Wales
-32.333807,151.793628,,New South Wales
-33.292934,151.20485,2010.0,New South Wales
-33.751172,151.22649,2023.0,New South Wales
-37.019723,149.833906,1991.0,New South Wales
-33.354783,149.464376,,New South Wales
-34.18774,150.299306,2023.0,New South Wales
-34.429892,150.529709,2014.0,New South Wales
-33.330807,151.419337,2025.0,New South Wales
-34.618753,150.542781,2021.0,New South Wales
-33.642963,151.316515,2021.0,New South Wales
-30.86601,150.698667,2019.0,New South Wales
-33.168142,151.380362,2005.0,New South Wales
-34.61624,150.673405,2017.0,New South Wales
-33.367506,151.38288,2024.0,New South Wales
-31.43583,151.47704,2013.0,New South Wales
-34.277097,142.786439,2022.0,New South Wales
-32.614943,151.731702,,New South Wales
-31.82544,150.18992,2018.0,New South Wales
-30.491182,149.308234,2017.0,New South Wales
-30.616441,151.468623,,New South Wales
-34.08774,148.44507,2013.0,New South Wales
-36.55984,148.27007,2014.0,New South Wales
-29.69876,150.60348,2014.0,New South Wales
-33.068863,149.070763,,New South Wales
-34.235014,149.058788,,New South Wales
-34.742622,146.55536,2018.0,New South Wales
-33.83625,149.99867,2013.0,New South Wales
-33.6969,150.3943,2017.0,New South Wales
-35.68866,147.48336,2023.0,New South Wales
-36.663375,148.256737,1999.0,New South Wales
-33.842,149.2252,2014.0,New South Wales
-35.39961,148.43913,2014.0,New South Wales
-33.829418,151.193759,2026.0,New South Wales
-33.768746,151.011092,2021.0,New South Wales
-29.586228,153.051577,,New South Wales
-30.464899,152.844826,,New South Wales
-34.785416,150.547877,2017.0,New South Wales
-34.661026,150.570304,2017.0,New South Wales
-31.700627,149.707283,,New South Wales
-33.715192,151.075627,2016.0,New South Wales
-31.24076,152.817958,2018.0,New South Wales
-34.019026,151.071859,2022.0,New South Wales
-32.296466,151.985871,2024.0,New South Wales
-36.24347,148.37086,2014.0,New South Wales
-33.904401,151.25696,2021.0,New South Wales
-34.992725,150.618262,,New South Wales
-30.63508,149.232401,2020.0,New South Wales
-30.2791,150.838518,2024.0,New South Wales
-30.316786,150.279901,2022.0,New South Wales
-34.291337,150.23958,2023.0,New South Wales
-34.1082,148.5703,2025.0,New South Wales
-31.44018,151.47775,2013.0,New South Wales
-32.926077,147.661224,,New South Wales
-35.87163,148.15979,2013.0,New South Wales
-30.589038,149.230399,2017.0,New South Wales
-33.654053,150.809796,2025.0,New South Wales
-35.005172,143.365506,,New South Wales
-34.330112,150.776115,2017.0,New South Wales
-30.09675,151.25979,2012.0,New South Wales
-35.60776,148.375802,1982.0,New South Wales
-34.010755,151.078278,2016.0,New South Wales
-34.49638,150.566578,2014.0,New South Wales
-33.406362,151.433595,,New South Wales
-33.905921,150.801368,2004.0,New South Wales
-34.80854,150.02093,2013.0,New South Wales
-36.081715,149.855014,2008.0,New South Wales
-30.57343,151.00588,2012.0,New South Wales
-34.13959,148.63587,2012.0,New South Wales
-33.668121,151.156229,2015.0,New South Wales
-33.489169,151.442158,,New South Wales
-33.49243,149.7604,2013.0,New South Wales
-33.645072,151.171373,2015.0,New South Wales
-35.88295,147.88309,2014.0,New South Wales
-32.77465,152.115712,2011.0,New South Wales
-30.567364,149.229624,2017.0,New South Wales
-33.623245,150.182801,,New South Wales
-32.292871,151.963105,2017.0,New South Wales
-35.370435,149.636695,2013.0,New South Wales
-34.656766,150.695326,2023.0,New South Wales
-34.383957,150.354244,2023.0,New South Wales
-34.661026,150.570304,2020.0,New South Wales
-33.326374,151.457454,,New South Wales
-33.720802,150.496891,,New South Wales
-34.11442,151.12576,2013.0,New South Wales
-36.55988,148.26448,2013.0,New South Wales
-35.76714,150.206568,2011.0,New South Wales
-32.156858,149.70751,2015.0,New South Wales
-34.237822,150.917102,2016.0,New South Wales
-33.663806,150.809932,,New South Wales
-33.974896,151.245404,2008.0,New South Wales
-33.00441,151.72251,2013.0,New South Wales
-34.671832,150.656171,2018.0,New South Wales
-33.8435,149.22904,2014.0,New South Wales
-31.165173,152.365492,2022.0,New South Wales
-35.156234,149.851993,2014.0,New South Wales
-30.782051,152.94142,,New South Wales
-33.400405,151.385693,2025.0,New South Wales
-32.412879,152.501273,1976.0,New South Wales
-31.855416,150.014147,2020.0,New South Wales
-30.063881,153.199427,,New South Wales
-33.645072,151.171373,2015.0,New South Wales
-33.339921,151.415764,2024.0,New South Wales
-33.49228,149.76563,2014.0,New South Wales
-30.522533,149.377301,2022.0,New South Wales
-35.019734,146.927805,2015.0,New South Wales
-36.55988,148.26448,2013.0,New South Wales
-34.426062,150.812326,,New South Wales
-33.49243,149.7604,2013.0,New South Wales
-33.913552,151.225231,2020.0,New South Wales
-34.46865,150.464677,,New South Wales
