species,annual_cost_usd,management_coverage,threatened_species,control_status,states_affected,label,priority_score
Feral Cat,4.2,18,123,Intractable,8,1,9.4
European Rabbit,1.8,42,322,Reducible,8,1,7.9
Red Fox,1.1,35,99,Reducible,7,1,6.6
Cane Toad,0.6,12,55,Intractable,4,1,6.1
Feral Pig,0.9,28,40,Reducible,8,0,5.8
Fire Ant,1.5,55,30,Eradicable,3,1,5.7
Black Rat,0.4,20,20,Reducible,8,0,4.8
Feral Goat,0.7,48,35,Reducible,7,0,4.6
Wild Dog,0.8,38,25,Reducible,7,0,4.9
Common Myna,0.3,15,15,Reducible,6,0,4.1
