decimalLatitude,decimalLongitude,year,stateProvince
-35.274741,149.109764,2022.0,Australian Capital Territory
-35.296794,149.129574,2025.0,Australian Capital Territory
-35.495398,148.996737,2004.0,Australian Capital Territory
-35.834128,148.953626,2016.0,Australian Capital Territory
-35.282112,149.13005,2023.0,Australian Capital Territory
-35.197697,149.100418,2021.0,Australian Capital Territory
-35.240622,149.11505,2025.0,Australian Capital Territory
-35.2641,149.154,2017.0,Australian Capital Territory
-35.284488,149.130661,2023.0,Australian Capital Territory
-35.25819,149.109606,1992.0,Australian Capital Territory
-35.349354,149.146874,2017.0,Australian Capital Territory
-35.277878,149.12085,2016.0,Australian Capital Territory
-35.251917,149.19375,2020.0,Australian Capital Territory
-35.433333,148.933333,,Australian Capital Territory
-35.280892,149.119064,2015.0,Australian Capital Territory
-35.303074,149.069292,2020.0,Australian Capital Territory
-35.231,149.169,2017.0,Australian Capital Territory
-35.6353,149.0441,2009.0,Australian Capital Territory
-35.2643,149.155,2017.0,Australian Capital Territory
-35.280441,149.120243,2017.0,Australian Capital Territory
-35.8293,149.083,1997.0,Australian Capital Territory
-35.226,149.174,2017.0,Australian Capital Territory
-35.448592,148.926373,2009.0,Australian Capital Territory
-35.12591,150.681838,2012.0,Australian Capital Territory
-35.718911,148.980156,2017.0,Australian Capital Territory
-35.2318,149.173,2017.0,Australian Capital Territory
-35.254163,148.974319,1991.0,Australian Capital Territory
-35.2623,149.158,2017.0,Australian Capital Territory
-35.270709,149.115427,1991.0,Australian Capital Territory
-35.357838,149.031548,2009.0,Australian Capital Territory
-35.2343,149.174,2017.0,Australian Capital Territory
-35.266655,149.141328,2025.0,Australian Capital Territory
-35.261985,149.153481,2019.0,Australian Capital Territory
-35.280533,149.118928,2016.0,Australian Capital Territory
-35.2824,149.162,2017.0,Australian Capital Territory
-35.515391,148.926115,2009.0,Australian Capital Territory
-35.280705,149.120589,2016.0,Australian Capital Territory
-35.4751,148.914,1993.0,Australian Capital Territory
-35.357636,149.134129,2026.0,Australian Capital Territory
-35.289249,149.118824,2025.0,Australian Capital Territory
-35.32819,148.909928,2007.0,Australian Capital Territory
-35.463573,148.907302,2019.0,Australian Capital Territory
-35.28023,149.119144,2016.0,Australian Capital Territory
-35.288997,149.136397,2023.0,Australian Capital Territory
-35.349878,149.132718,2025.0,Australian Capital Territory
-35.2669,149.15,2017.0,Australian Capital Territory
-35.2344,149.176,2017.0,Australian Capital Territory
-35.263948,149.111967,2025.0,Australian Capital Territory
-35.8923,148.98,1994.0,Australian Capital Territory
-35.282003,149.118849,2022.0,Australian Capital Territory
-35.385759,149.083202,1993.0,Australian Capital Territory
-35.279758,149.121095,2018.0,Australian Capital Territory
-35.2592,149.159,2017.0,Australian Capital Territory
-35.314019,149.161819,2020.0,Australian Capital Territory
-35.4295,148.831,1992.0,Australian Capital Territory
-35.265399,149.109793,1992.0,Australian Capital Territory
-35.2167,149.1333,1998.0,Australian Capital Territory
-35.22215,149.176642,2014.0,Australian Capital Territory
-35.31369,149.16186,2020.0,Australian Capital Territory
-35.244498,149.048338,2009.0,Australian Capital Territory
-35.4492,149.117,1992.0,Australian Capital Territory
-35.427656,149.063399,2017.0,Australian Capital Territory
-35.252138,149.076319,2009.0,Australian Capital Territory
-35.2635,149.17,2017.0,Australian Capital Territory
-35.167353,149.153996,2009.0,Australian Capital Territory
-35.288786,149.127138,2015.0,Australian Capital Territory
-35.3556,149.106,1991.0,Australian Capital Territory
-35.280255,149.120833,2015.0,Australian Capital Territory
-35.2703,149.15,2017.0,Australian Capital Territory
-35.283536,149.122353,2026.0,Australian Capital Territory
-35.277908,149.109879,2023.0,Australian Capital Territory
-35.2527,149.17,2017.0,Australian Capital Territory
-35.168781,149.145624,2025.0,Australian Capital Territory
-35.320803,149.160871,2024.0,Australian Capital Territory
