year,stateProvince,decimalLatitude,decimalLongitude,vernacularName,species
2021,Victoria,-37.66592,144.51082,Cat,Felis catus
2017,Victoria,-38.50428,143.72228,Cat,Felis catus
2019,Victoria,-37.60693,146.05964,Cat,Felis catus
2021,Victoria,-37.44768,149.12131,Cat,Felis catus
2017,Victoria,-37.26177,147.35755,Cat,Felis catus
2011,Victoria,-38.09056,145.14169,Cat,Felis catus
2022,Victoria,-38.00261,141.60568,Cat,Felis catus
2017,Victoria,-37.2188,147.4101,Cat,Felis catus
2021,Victoria,-38.34245,145.40869,Cat,Felis catus
1995,Victoria,-37.16115,146.82162,Cat,Felis catus
2023,Victoria,-37.71849,145.61498,Cat,Felis catus
2021,Victoria,-38.34311,145.2806,Cat,Felis catus
1982,Victoria,-38.62351,143.79302,Cat,Felis catus
1989,Victoria,-37.23975,148.95785,Cat,Felis catus
2020,Victoria,-37.88345,145.76634,Cat,Felis catus
2016,Victoria,-36.3123,145.4317,Cat,Felis catus
2020,Victoria,-37.45614,142.41553,Cat,Felis catus
2017,Victoria,-37.68891,149.17084,Cat,Felis catus
1994,Victoria,-38.45296,143.47504,Cat,Felis catus
2018,Victoria,-38.3164,145.37818,Cat,Felis catus
2018,Victoria,-37.61414,148.77085,Cat,Felis catus
2021,Victoria,-38.3778,145.31377,Cat,Felis catus
2021,Victoria,-37.01634,148.40359,Cat,Felis catus
2021,Victoria,-38.39357,145.3925,Cat,Felis catus
2019,Victoria,-35.36319,141.52536,Cat,Felis catus
2018,Victoria,-38.80487,143.56095,Cat,Felis catus
1981,Victoria,-38.04153,145.83375,Cat,Felis catus
2020,Victoria,-37.43647,145.96337,Cat,Felis catus
2023,Victoria,-37.63539,148.42033,Cat,Felis catus
1998,Victoria,-36.67951,141.34442,Cat,Felis catus
2021,Victoria,-38.36599,145.43247,Cat,Felis catus
2022,Victoria,-36.88369,148.0014,Cat,Felis catus
2021,Victoria,-37.09699,146.46542,Cat,Felis catus
2023,Victoria,-37.68331,145.86221,Cat,Felis catus
1988,Victoria,-37.80967,145.23534,Cat,Felis catus
2023,Victoria,-37.91479,145.71884,Cat,Felis catus
2017,Victoria,-37.90794,147.29334,Cat,Felis catus
2020,Victoria,-34.13663,141.84024,Cat,Felis catus
2021,Victoria,-37.79251,148.20399,Cat,Felis catus
2021,Victoria,-38.38038,145.3795,Cat,Felis catus
2023,Victoria,-37.71963,145.62043,Cat,Felis catus
1980,Victoria,-37.57813,145.36539,Cat,Felis catus
2021,Victoria,-37.38006,145.92277,Cat,Felis catus
2005,Victoria,-38.3464,147.17809,Cat,Felis catus
2020,Victoria,-37.40789,142.44712,Cat,Felis catus
2012,Victoria,-37.6715,147.97841,Cat,Felis catus
2021,Victoria,-37.10114,146.47245,Cat,Felis catus
2013,Victoria,-38.5049,143.9853,Cat,Felis catus
2010,Victoria,-37.87918,144.07735,Cat,Felis catus
1995,Victoria,-37.685,144.51824,Cat,Felis catus
1978,Victoria,-37.54011,149.87624,Cat,Felis catus
2016,Victoria,-38.21327,141.7423,Cat,Felis catus
2021,Victoria,-36.98914,147.14956,Cat,Felis catus
2017,Victoria,-37.9665,145.4766,Cat,Felis catus
2021,Victoria,-38.36354,145.43563,Cat,Felis catus
2019,Victoria,-38.32309,145.38736,Cat,Felis catus
2021,Victoria,-38.07479,147.49048,Cat,Felis catus
2002,Victoria,-37.9892,145.461,Cat,Felis catus
1997,Victoria,-38.82352,143.59302,Cat,Felis catus
2019,Victoria,-35.40058,141.49096,Cat,Felis catus
2017,Victoria,-37.71843,149.00689,Cat,Felis catus
2021,Victoria,-38.3969,145.2954,Cat,Felis catus
2014,Victoria,-38.06064,141.18621,Cat,Felis catus
2022,Victoria,-37.73376,146.22239,Cat,Felis catus
2015,Victoria,-34.69463,142.34858,Cat,Felis catus
2021,Victoria,-38.29,145.3035,Cat,Felis catus
2020,Victoria,-36.9896,147.14781,Cat,Felis catus
2017,Victoria,-37.27257,147.45905,Cat,Felis catus
2020,Victoria,-37.36109,142.30638,Cat,Felis catus
2018,Victoria,-37.59216,146.18045,Cat,Felis catus
2021,Victoria,-38.32744,145.37457,Cat,Felis catus
2021,Victoria,-38.91625,146.33954,Cat,Felis catus
1997,Victoria,-38.11712,145.18576,Cat,Felis catus
2021,Victoria,-38.41977,145.3499,Cat,Felis catus
2019,Victoria,-36.57612,141.7223,Cat,Felis catus
2007,Victoria,-36.8301,148.12602,Cat,Felis catus
2021,Victoria,-38.32774,145.28653,Cat,Felis catus
2015,Victoria,-37.4531,144.2036,Cat,Felis catus
2023,Victoria,-38.48833,143.41678,Cat,Felis catus
2021,Victoria,-38.34245,145.40869,Cat,Felis catus
2020,Victoria,-37.66525,148.94385,Cat,Felis catus
2008,Victoria,-38.27417,145.56778,Cat,Felis catus
2019,Victoria,-38.39352,145.30942,Cat,Felis catus
2020,Victoria,-37.22537,142.55058,Cat,Felis catus
2017,Victoria,-37.26177,147.35755,Cat,Felis catus
2017,Victoria,-38.65194,143.84,Cat,Felis catus
2020,Victoria,-36.99454,147.17397,Cat,Felis catus
2022,Victoria,-36.79657,146.68612,Cat,Felis catus
1977,Victoria,-38.65682,146.34298,Cat,Felis catus
2020,Victoria,-37.35146,142.6243,Cat,Felis catus
2017,Victoria,-37.31984,147.49021,Cat,Felis catus
2015,Victoria,-38.03376,141.04662,Cat,Felis catus
2019,Victoria,-36.61668,141.79847,Cat,Felis catus
1979,Victoria,-37.8735,144.293,Cat,Felis catus
2020,Victoria,-37.36558,142.47861,Cat,Felis catus
1990,Victoria,-37.16484,145.53426,Cat,Felis catus
1997,Victoria,-37.07091,146.76559,Cat,Felis catus
2013,Victoria,-38.1794,141.68871,Cat,Felis catus
2016,Victoria,-36.92765,148.14166,Cat,Felis catus
2016,Victoria,-37.4539,144.3679,Cat,Felis catus
2020,Victoria,-37.71672,145.67594,Cat,Felis catus
2022,Victoria,-36.97588,148.22937,Cat,Felis catus
2021,Victoria,-38.33789,145.48335,Cat,Felis catus
2021,Victoria,-38.33296,145.29396,Cat,Felis catus
2021,Victoria,-37.29151,148.14665,Cat,Felis catus
2022,Victoria,-36.90623,146.64051,Cat,Felis catus
2021,Victoria,-37.77439,148.84423,Cat,Felis catus
2015,Victoria,-38.03162,141.17033,Cat,Felis catus
2020,Victoria,-37.49716,146.37217,Cat,Felis catus
2021,Victoria,-38.31304,145.44167,Cat,Felis catus
2007,Victoria,-38.78757,143.53817,Cat,Felis catus
1997,Victoria,-38.11712,145.18576,Cat,Felis catus
2017,Victoria,-37.56793,149.17403,Cat,Felis catus
1980,Victoria,-38.12353,141.7097,Cat,Felis catus
1989,Victoria,-37.34926,146.14035,Cat,Felis catus
2017,Victoria,-37.57503,148.42112,Cat,Felis catus
2021,Victoria,-38.37067,145.37519,Cat,Felis catus
2017,Victoria,-38.48611,143.84028,Cat,Felis catus
2020,Victoria,-37.35146,142.6243,Cat,Felis catus
2021,Victoria,-37.53581,146.15744,Cat,Felis catus
2018,Victoria,-38.77403,143.51402,Cat,Felis catus
2019,Victoria,-37.98324,145.87946,Cat,Felis catus
2021,Victoria,-38.31039,145.30188,Cat,Felis catus
2022,Victoria,-37.55544,145.62373,Cat,Felis catus
2019,Victoria,-38.89305,146.24692,Cat,Felis catus
2021,Victoria,-38.32744,145.37457,Cat,Felis catus
2004,Victoria,-36.60247,145.97317,Cat,Felis catus
2019,Victoria,-38.3162,145.44216,Cat,Felis catus
2008,Victoria,-37.6214,147.6476,Cat,Felis catus
2008,Victoria,-38.44612,146.57461,Cat,Felis catus
2021,Victoria,-37.55298,148.83427,Cat,Felis catus
1979,Victoria,-38.2902,141.54304,Cat,Felis catus
2018,Victoria,-37.53986,149.00089,Cat,Felis catus
2003,Victoria,-37.16903,142.34909,Cat,Felis catus
2007,Victoria,-38.79179,143.55043,Cat,Felis catus
2020,Victoria,-37.35146,142.6243,Cat,Felis catus
2016,Victoria,-37.872,145.97853,Cat,Felis catus
2009,Victoria,-38.0321,140.99027,Cat,Felis catus
2019,Victoria,-38.04026,141.16898,Cat,Felis catus
1992,Victoria,-37.87349,145.37631,Cat,Felis catus
2002,Victoria,-38.16813,145.10574,Cat,Felis catus
1977,Victoria,-38.62349,146.04298,Cat,Felis catus
2019,Victoria,-38.33146,145.32268,Cat,Felis catus
2007,Victoria,-37.62056,142.36306,Cat,Felis catus
2007,Victoria,-38.57387,143.8065,Cat,Felis catus
2020,Victoria,-37.83426,146.36765,Cat,Felis catus
2012,Victoria,-37.6988,146.35143,Cat,Felis catus
2020,Victoria,-37.2419,142.36272,Cat,Felis catus
2022,Victoria,-37.33887,148.31669,Cat,Felis catus
2016,Victoria,-37.56585,145.08827,Cat,Felis catus
2017,Victoria,-37.63248,148.20247,Cat,Felis catus
2020,Victoria,-37.38336,147.59028,Cat,Felis catus
2022,Victoria,-37.59285,146.16155,Cat,Felis catus
1984,Victoria,-37.86948,145.45106,Cat,Felis catus
2021,Victoria,-38.29,145.3035,Cat,Felis catus
2017,Victoria,-36.8827,145.88139,Cat,Felis catus
1983,Victoria,-36.83925,146.16516,Cat,Felis catus
2020,Victoria,-36.92271,146.81043,Cat,Felis catus
1999,Victoria,-36.20389,146.95397,Cat,Felis catus
2003,Victoria,-37.81281,144.98195,Cat,Felis catus
2020,Victoria,-37.35146,142.6243,Cat,Felis catus
1989,Victoria,-37.16851,145.15238,Cat,Felis catus
2015,Victoria,-37.42015,146.7835,Cat,Felis catus
2021,Victoria,-36.99779,148.40522,Cat,Felis catus
2003,Victoria,-38.34729,144.9878,Cat,Felis catus
1986,Victoria,-37.19016,144.49298,Cat,Felis catus
1997,Victoria,-36.20389,146.95397,Cat,Felis catus
2022,Victoria,-37.50653,149.35995,Cat,Felis catus
2014,Victoria,-37.5659,145.34301,Cat,Felis catus
1990,Victoria,-37.78028,148.91525,Cat,Felis catus
2020,Victoria,-37.2489,144.0679,Cat,Felis catus
