Species,Common_name,Official_country,Probable_starting_year_adjusted,Probable_ending_year_adjusted,Cost_estimate_per_year_2017_USD_exchange_rate,Impacted_sector,Type_of_cost,Method_reliability
Vulpes vulpes,Red fox,Australia,2004,2004,16701772.13,Agriculture,Damage-Loss,High
Vulpes vulpes,Red fox,Australia,2004,2004,181333525.96,Environment,Damage-Loss,High
Vulpes vulpes,Red fox,Australia,2000,2000,15270191.66,Authorities-Stakeholders,Control,High
Vulpes vulpes,Red fox,Australia,2000,2000,3301105.44,Authorities-Stakeholders,Research,Low
Vulpes vulpes,Red fox,Australia,2000,2000,1650552.72,Authorities-Stakeholders,Control,Low
Vulpes vulpes,Red fox,Australia,2000,2000,4126381.80,Public and social welfare,Control,Low
Vulpes vulpes,Red fox,Australia,2000,2000,33011054.38,Agriculture,Damage-Loss,Low
Felis catus,Feral Cat,Australia,2000,2000,825276.36,Authorities-Stakeholders,Control,Low
Felis catus,Feral Cat,Australia,2004,2004,137431724.94,Public and social welfare,Personal loss,High
Oryctolagus cuniculus,European (common) rabbit,Australia,1988,1988,210528424.93,Agriculture,Damage-Loss,Low
Oryctolagus cuniculus,European (common) rabbit,Australia,2004,2004,21855461.81,Agriculture,Damage-Loss,High
Oryctolagus cuniculus,European (common) rabbit,Australia,2004,2019,7024288.16,Agriculture,Damage-Loss,High
Oryctolagus cuniculus,European (common) rabbit,Australia,1996,1996,733770636.15,Agriculture,Damage-Loss,Low
Oryctolagus cuniculus,European (common) rabbit,Australia,2000,2000,16505527.19,Authorities-Stakeholders/Public and social welfare,Control/Research,Low
Oryctolagus cuniculus,European (common) rabbit,Australia,2000,2000,4126381.80,Authorities-Stakeholders,Research,Low
Oryctolagus cuniculus,European (common) rabbit,Australia,2000,2000,165055271.88,Agriculture,Damage-Loss,Low
Oryctolagus cuniculus,European (common) rabbit,Australia,2004,2004,84091036.70,Agriculture,Damage-Loss,High
Sus scrofa,Feral pig,Australia,2000,2000,4126381.80,Authorities-Stakeholders/Public and social welfare,Control,Low
Sus scrofa,Feral pig,Australia,2000,2000,1237914.54,Authorities-Stakeholders,Research,Low
Sus scrofa,Feral pig,Australia,1982,1982,9017834.22,Public and social welfare,Damage-Loss,Low
