year,stateProvince,decimalLatitude,decimalLongitude,vernacularName,species
2021,Victoria,-37.16468,142.34977,Rabbit,Oryctolagus cuniculus
1979,Victoria,-37.47345,148.80959,Rabbit,Oryctolagus cuniculus
2018,Victoria,-37.85091,144.75263,Rabbit,Oryctolagus cuniculus
1988,Victoria,-37.65967,147.14243,Rabbit,Oryctolagus cuniculus
1995,Victoria,-34.12293,141.80001,Rabbit,Oryctolagus cuniculus
2003,Victoria,-36.68066,144.10112,Rabbit,Oryctolagus cuniculus
2008,Victoria,-37.61583,144.95444,Rabbit,Oryctolagus cuniculus
2018,Victoria,-37.08,147.4441,Rabbit,Oryctolagus cuniculus
1978,Victoria,-37.69015,146.20963,Rabbit,Oryctolagus cuniculus
2018,Victoria,-37.63392,144.87588,Rabbit,Oryctolagus cuniculus
1997,Victoria,-38.11712,145.18576,Rabbit,Oryctolagus cuniculus
2015,Victoria,-38.12523,145.27099,Rabbit,Oryctolagus cuniculus
1987,Victoria,-37.41513,147.91793,Rabbit,Oryctolagus cuniculus
1960,Victoria,-37.12351,142.79301,Rabbit,Oryctolagus cuniculus
2009,Victoria,-36.8743,147.29278,Rabbit,Oryctolagus cuniculus
2013,Victoria,-37.9346,145.3124,Rabbit,Oryctolagus cuniculus
1978,Victoria,-37.30681,146.50962,Rabbit,Oryctolagus cuniculus
2010,Victoria,-38.22271,145.40554,Rabbit,Oryctolagus cuniculus
1990,Victoria,-37.94604,145.25485,Rabbit,Oryctolagus cuniculus
2005,Victoria,-38.29,144.4,Rabbit,Oryctolagus cuniculus
2021,Victoria,-37.16769,142.34934,Rabbit,Oryctolagus cuniculus
2016,Victoria,-38.14396,145.24538,Rabbit,Oryctolagus cuniculus
2004,Victoria,-37.87797,144.72825,Rabbit,Oryctolagus cuniculus
2012,Victoria,-36.2007,143.3337,Rabbit,Oryctolagus cuniculus
1994,Victoria,-37.94849,145.23465,Rabbit,Oryctolagus cuniculus
1960,Victoria,-38.29019,142.37637,Rabbit,Oryctolagus cuniculus
2019,Victoria,-36.61668,141.79847,Rabbit,Oryctolagus cuniculus
2001,Victoria,-37.6182,145.77128,Rabbit,Oryctolagus cuniculus
2021,Victoria,-38.91588,146.32447,Rabbit,Oryctolagus cuniculus
1992,Victoria,-36.14207,144.22886,Rabbit,Oryctolagus cuniculus
1978,Victoria,-37.87347,146.95962,Rabbit,Oryctolagus cuniculus
2008,Victoria,-36.875,143.82,Rabbit,Oryctolagus cuniculus
2007,Victoria,-37.62236,145.41355,Rabbit,Oryctolagus cuniculus
2016,Victoria,-36.90978,148.41253,Rabbit,Oryctolagus cuniculus
1988,Victoria,-37.50938,144.99807,Rabbit,Oryctolagus cuniculus
2019,Victoria,-38.88826,146.25707,Rabbit,Oryctolagus cuniculus
1997,Victoria,-38.01992,147.54415,Rabbit,Oryctolagus cuniculus
2013,Victoria,-38.17338,145.38151,Rabbit,Oryctolagus cuniculus
1979,Victoria,-36.45685,141.95967,Rabbit,Oryctolagus cuniculus
2001,Victoria,-37.9235,144.77632,Rabbit,Oryctolagus cuniculus
1979,Victoria,-36.45685,141.95967,Rabbit,Oryctolagus cuniculus
1988,Victoria,-37.63962,144.50275,Rabbit,Oryctolagus cuniculus
2014,Victoria,-38.17338,145.38151,Rabbit,Oryctolagus cuniculus
2014,Victoria,-37.70836,143.68233,Rabbit,Oryctolagus cuniculus
1992,Victoria,-38.26615,144.51573,Rabbit,Oryctolagus cuniculus
1987,Victoria,-35.04017,142.99297,Rabbit,Oryctolagus cuniculus
1996,Victoria,-37.18654,146.34837,Rabbit,Oryctolagus cuniculus
2020,Victoria,-38.0907,147.0318,Rabbit,Oryctolagus cuniculus
1995,Victoria,-37.03766,146.32266,Rabbit,Oryctolagus cuniculus
1992,Victoria,-36.22183,146.17956,Rabbit,Oryctolagus cuniculus
1989,Victoria,-37.86968,144.35064,Rabbit,Oryctolagus cuniculus
2013,Victoria,-36.64194,141.79822,Rabbit,Oryctolagus cuniculus
1978,Victoria,-37.54014,146.79295,Rabbit,Oryctolagus cuniculus
2005,Victoria,-36.20444,146.95444,Rabbit,Oryctolagus cuniculus
1978,Victoria,-37.62347,147.45961,Rabbit,Oryctolagus cuniculus
1996,Victoria,-38.08992,145.72009,Rabbit,Oryctolagus cuniculus
1986,Victoria,-35.85513,141.64981,Rabbit,Oryctolagus cuniculus
1988,Victoria,-37.58045,144.78895,Rabbit,Oryctolagus cuniculus
1991,Victoria,-35.91012,144.37435,Rabbit,Oryctolagus cuniculus
1991,Victoria,-35.94747,141.87454,Rabbit,Oryctolagus cuniculus
2021,Victoria,-36.86997,146.60923,Rabbit,Oryctolagus cuniculus
2005,Victoria,-38.08992,145.72009,Rabbit,Oryctolagus cuniculus
2021,Victoria,-37.16258,142.35093,Rabbit,Oryctolagus cuniculus
1992,Victoria,-37.9235,144.75966,Rabbit,Oryctolagus cuniculus
2002,Victoria,-38.35252,142.25632,Rabbit,Oryctolagus cuniculus
2001,Victoria,-37.94072,145.26066,Rabbit,Oryctolagus cuniculus
1978,Victoria,-37.54014,146.70962,Rabbit,Oryctolagus cuniculus
2020,Victoria,-38.1399,145.2671,Rabbit,Oryctolagus cuniculus
2021,Victoria,-38.91691,146.32816,Rabbit,Oryctolagus cuniculus
2012,Victoria,-37.65289,143.92605,Rabbit,Oryctolagus cuniculus
2019,Victoria,-38.17338,145.38151,Rabbit,Oryctolagus cuniculus
2017,Victoria,-38.0084,145.5461,Rabbit,Oryctolagus cuniculus
1990,Victoria,-37.62628,145.14791,Rabbit,Oryctolagus cuniculus
2015,Victoria,-37.47625,145.42018,Rabbit,Oryctolagus cuniculus
2001,Victoria,-37.62386,144.99954,Rabbit,Oryctolagus cuniculus
2022,Victoria,-37.2915,148.27255,Rabbit,Oryctolagus cuniculus
1988,Victoria,-37.24845,148.91792,Rabbit,Oryctolagus cuniculus
2013,Victoria,-37.9097,147.646,Rabbit,Oryctolagus cuniculus
2019,Victoria,-36.61668,141.79847,Rabbit,Oryctolagus cuniculus
2015,Victoria,-37.7975,144.70737,Rabbit,Oryctolagus cuniculus
2019,Victoria,-38.21237,145.42873,Rabbit,Oryctolagus cuniculus
1991,Victoria,-38.70683,145.62633,Rabbit,Oryctolagus cuniculus
1994,Victoria,-36.75423,143.84158,Rabbit,Oryctolagus cuniculus
2003,Victoria,-34.2042,141.3723,Rabbit,Oryctolagus cuniculus
1993,Victoria,-37.76583,145.19665,Rabbit,Oryctolagus cuniculus
2019,Victoria,-38.19835,145.2299,Rabbit,Oryctolagus cuniculus
2006,Victoria,-38.13585,145.21174,Rabbit,Oryctolagus cuniculus
2003,Victoria,-38.028,145.4382,Rabbit,Oryctolagus cuniculus
1986,Victoria,-35.39311,142.08103,Rabbit,Oryctolagus cuniculus
1992,Victoria,-37.02764,141.27965,Rabbit,Oryctolagus cuniculus
1985,Victoria,-35.38252,141.14834,Rabbit,Oryctolagus cuniculus
1991,Victoria,-38.029,145.75419,Rabbit,Oryctolagus cuniculus
1990,Victoria,-37.98934,145.13995,Rabbit,Oryctolagus cuniculus
1987,Victoria,-35.9735,143.25965,Rabbit,Oryctolagus cuniculus
2008,Victoria,-38.37168,144.99956,Rabbit,Oryctolagus cuniculus
2020,Victoria,-38.5109,146.027,Rabbit,Oryctolagus cuniculus
2020,Victoria,-36.331,142.894,Rabbit,Oryctolagus cuniculus
1986,Victoria,-35.38252,141.14834,Rabbit,Oryctolagus cuniculus
1980,Victoria,-38.20687,141.87637,Rabbit,Oryctolagus cuniculus
2009,Victoria,-37.50733,144.02786,Rabbit,Oryctolagus cuniculus
2014,Victoria,-37.82698,143.72703,Rabbit,Oryctolagus cuniculus
2012,Victoria,-37.2947,147.6942,Rabbit,Oryctolagus cuniculus
1986,Victoria,-34.16064,141.48683,Rabbit,Oryctolagus cuniculus
1976,Victoria,-37.54011,149.87624,Rabbit,Oryctolagus cuniculus
2011,Victoria,-36.9372,147.8323,Rabbit,Oryctolagus cuniculus
1979,Victoria,-36.37353,141.29301,Rabbit,Oryctolagus cuniculus
1988,Victoria,-37.78085,144.57748,Rabbit,Oryctolagus cuniculus
1988,Victoria,-34.89384,142.24298,Rabbit,Oryctolagus cuniculus
1991,Victoria,-37.49073,149.37607,Rabbit,Oryctolagus cuniculus
2013,Victoria,-38.33325,144.3116,Rabbit,Oryctolagus cuniculus
2019,Victoria,-38.17338,145.38151,Rabbit,Oryctolagus cuniculus
1982,Victoria,-36.12189,147.92524,Rabbit,Oryctolagus cuniculus
2015,Victoria,-34.72012,142.3902,Rabbit,Oryctolagus cuniculus
2021,Victoria,-36.96973,148.27179,Rabbit,Oryctolagus cuniculus
1988,Victoria,-37.77054,145.61094,Rabbit,Oryctolagus cuniculus
1992,Victoria,-38.11135,145.16195,Rabbit,Oryctolagus cuniculus
1979,Victoria,-37.37345,148.45959,Rabbit,Oryctolagus cuniculus
2009,Victoria,-37.2162,145.1622,Rabbit,Oryctolagus cuniculus
2019,Victoria,-38.17338,145.38151,Rabbit,Oryctolagus cuniculus
2013,Victoria,-37.99053,140.98415,Rabbit,Oryctolagus cuniculus
2011,Victoria,-37.442,144.174,Rabbit,Oryctolagus cuniculus
2003,Victoria,-37.70609,143.59515,Rabbit,Oryctolagus cuniculus
1991,Victoria,-36.11794,144.23748,Rabbit,Oryctolagus cuniculus
2013,Victoria,-37.6887,146.30734,Rabbit,Oryctolagus cuniculus
2019,Victoria,-36.61668,141.79847,Rabbit,Oryctolagus cuniculus
1988,Victoria,-37.9068,147.74295,Rabbit,Oryctolagus cuniculus
2003,Victoria,-38.26161,144.60045,Rabbit,Oryctolagus cuniculus
2016,Victoria,-38.13725,145.23458,Rabbit,Oryctolagus cuniculus
2022,Victoria,-37.8887,145.39766,Rabbit,Oryctolagus cuniculus
2021,Victoria,-36.96998,148.30303,Rabbit,Oryctolagus cuniculus
2022,Victoria,-38.32908,145.30065,Rabbit,Oryctolagus cuniculus
2012,Victoria,-37.6383,144.9678,Rabbit,Oryctolagus cuniculus
1988,Victoria,-37.61414,144.62142,Rabbit,Oryctolagus cuniculus
2016,Victoria,-38.01507,140.98038,Rabbit,Oryctolagus cuniculus
2015,Victoria,-34.75623,142.36773,Rabbit,Oryctolagus cuniculus
2006,Victoria,-37.96485,144.63731,Rabbit,Oryctolagus cuniculus
2022,Victoria,-37.8887,145.39766,Rabbit,Oryctolagus cuniculus
2007,Victoria,-36.90664,148.08905,Rabbit,Oryctolagus cuniculus
1980,Victoria,-37.80682,145.20965,Rabbit,Oryctolagus cuniculus
2019,Victoria,-36.799,145.782,Rabbit,Oryctolagus cuniculus
1997,Victoria,-37.65575,144.86493,Rabbit,Oryctolagus cuniculus
1989,Victoria,-37.36221,146.1865,Rabbit,Oryctolagus cuniculus
2000,Victoria,-37.01052,148.06067,Rabbit,Oryctolagus cuniculus
2021,Victoria,-36.91334,142.50266,Rabbit,Oryctolagus cuniculus
2012,Victoria,-35.9934,144.2164,Rabbit,Oryctolagus cuniculus
2014,Victoria,-38.028,145.4382,Rabbit,Oryctolagus cuniculus
1998,Victoria,-38.29015,146.29297,Rabbit,Oryctolagus cuniculus
2008,Victoria,-36.3805,146.0872,Rabbit,Oryctolagus cuniculus
2019,Victoria,-36.61668,141.79847,Rabbit,Oryctolagus cuniculus
2004,Victoria,-37.7155,144.31913,Rabbit,Oryctolagus cuniculus
2021,Victoria,-37.19267,142.39322,Rabbit,Oryctolagus cuniculus
1984,Victoria,-38.54912,143.57012,Rabbit,Oryctolagus cuniculus
2017,Victoria,-38.18908,145.57012,Rabbit,Oryctolagus cuniculus
1992,Victoria,-37.9235,144.75966,Rabbit,Oryctolagus cuniculus
2022,Victoria,-38.31707,145.29217,Rabbit,Oryctolagus cuniculus
2015,Victoria,-38.7853,145.95194,Rabbit,Oryctolagus cuniculus
2014,Victoria,-37.58978,145.23293,Rabbit,Oryctolagus cuniculus
2018,Victoria,-38.21837,145.39706,Rabbit,Oryctolagus cuniculus
2016,Victoria,-38.14223,145.22708,Rabbit,Oryctolagus cuniculus
2011,Victoria,-38.22483,145.29312,Rabbit,Oryctolagus cuniculus
2010,Victoria,-38.0792,145.24436,Rabbit,Oryctolagus cuniculus
2005,Victoria,-36.20444,146.95444,Rabbit,Oryctolagus cuniculus
2014,Victoria,-37.924,145.557,Rabbit,Oryctolagus cuniculus
1983,Victoria,-36.8637,146.05944,Rabbit,Oryctolagus cuniculus
1987,Victoria,-37.82346,148.05961,Rabbit,Oryctolagus cuniculus
1948,Victoria,-35.95682,145.04295,Rabbit,Oryctolagus cuniculus
1914,Victoria,-34.62351,142.3763,Rabbit,Oryctolagus cuniculus
1989,Victoria,-37.32498,145.12937,Rabbit,Oryctolagus cuniculus
1969,Victoria,-37.95682,145.37632,Rabbit,Oryctolagus cuniculus
2003,Victoria,-38.08992,145.72009,Rabbit,Oryctolagus cuniculus
2012,Victoria,-37.662,144.309,Rabbit,Oryctolagus cuniculus
2018,Victoria,-37.876,144.11,Rabbit,Oryctolagus cuniculus
2006,Victoria,-37.88557,144.61625,Rabbit,Oryctolagus cuniculus
2020,Victoria,-37.10276,142.30653,Rabbit,Oryctolagus cuniculus
2015,Victoria,-38.86922,146.24025,Rabbit,Oryctolagus cuniculus
2015,Victoria,-38.09086,144.02015,Rabbit,Oryctolagus cuniculus
1999,Victoria,-37.95578,145.24323,Rabbit,Oryctolagus cuniculus
2005,Victoria,-36.20444,146.95444,Rabbit,Oryctolagus cuniculus
2006,Victoria,-37.3517,142.417,Rabbit,Oryctolagus cuniculus
2010,Victoria,-38.23866,145.25407,Rabbit,Oryctolagus cuniculus
